MARCHE_ID;NUMERO_LOT;ACHETEURS_NOM;MARCHE_OBJET;NOTIFICATION_DATE;MONTANT;TITULAIRES_DENOMINATION
20-647;01;COMMUNE DE STRASBOURG;PRESTATIONS D'ASSURANCE POUR LES BESOINS DE LA VILLE DE STRASBOURG;2019-12-30;431000.0;DRABER NEFF ASSURANCES
20-647;05;COMMUNE DE STRASBOURG;PRESTATIONS D'ASSURANCE POUR LES BESOINS DE LA VILLE DE STRASBOURG;2019-12-30;4815.0;DRABER NEFF ASSURANCES
20-647;08;COMMUNE DE STRASBOURG;PRESTATIONS D'ASSURANCE POUR LES BESOINS DE LA VILLE DE STRASBOURG;2019-12-24;21655.0;ASSURANCES PILLIOT
20-647;07;COMMUNE DE STRASBOURG;PRESTATIONS D'ASSURANCE POUR LES BESOINS DE LA VILLE DE STRASBOURG;2019-12-24;19164.0;ASSURANCES PILLIOT
20-647;04;COMMUNE DE STRASBOURG;PRESTATIONS D'ASSURANCE POUR LES BESOINS DE LA VILLE DE STRASBOURG;2019-12-23;52661.0;ASSURANCES SECURITE
20-647;02;COMMUNE DE STRASBOURG;PRESTATIONS D'ASSURANCE POUR LES BESOINS DE LA VILLE DE STRASBOURG;2019-12-23;38379.0;SMACL ASSURANCES
20-647;03;COMMUNE DE STRASBOURG;PRESTATIONS D'ASSURANCE POUR LES BESOINS DE LA VILLE DE STRASBOURG;2019-12-23;37535.0;SMACL ASSURANCES
DC5C6E9A-48BF-40C1-9F15-A806B8C47FB1;None;COMMUNE DE STRASBOURG;REALISATION D'UN SITE FUTSAL AU GYMNASE KARINE C A STRASBOURG- HAUTEPIERRE - PREAU SPORTIF;2019-12-17;436718.62;ACS PRODUCTION
5F0A7CD2-8240-4EE7-B45F-08D3A202C577;None;COMMUNE DE STRASBOURG;TRAVAUX DE CREATION D'UNE SALLE DE GYMNASTIQUE ET MISE EN SECURITE, AMELIORATIONS THERMIQUES ET ACCESSIBILITE HANDICAPEE DU GYMNASE DE LA CANARDIERE A STRASBOURG - PEINTURE INTERIEURE ET EXTERIEURE - NETTOYAGE DE FIN DE CHANTIER;2019-12-11;54269.82;DECOPEINT
CBBABE58-222E-4015-A73C-32A58214F9C8;None;COMMUNE DE STRASBOURG;TRAVAUX DE CREATION D'UNE SALLE DE GYMNASTIQUE ET MISE EN SECURITE, AMELIORATIONS THERMIQUES ET ACCESSIBILITE HANDICAPEE DU GYMNASE DE LA CANARDIERE A STRASBOURG - PLATRERIE;2019-12-11;14600.0;ETABLISSEMENTS ROBERT GEISTEL
